"","SampleID","FishYear","Year","Month","Day","birth_month","Method","Region","region_year","Site","site_year","Cohort","cohort_year","region_cohort","site_cohort","TL","FL","SL","Weight","Sex","Stage","MaturityStage","LOtoWt","ROtoWt","Width","Age","sAge","AAC","sAAC","Edge","EdgeRatio","EdgeType","region_stage_year","region_stage_cohort"
"27","AA410",2019,"2021","11","23","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2017","2017_2019","Riau Archipelago_2017","Riau Archipelago_2017",557,NA,472,2260,"",NA,"Immature",0.944,0.934,0.36,2,-0.934807437711907,3,-1.09363072162382,0.086,0.411483253588517,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2017"
"28","AA410",2020,"2021","11","23","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2017","2017_2020","Riau Archipelago_2017","Riau Archipelago_2017",557,NA,472,2260,"",NA,"Immature",0.944,0.934,0.209,3,-0.529342329603742,3,-1.09363072162382,0.086,0.411483253588517,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2017"
"29","AA411",2019,"2021","11","23","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2017","2017_2019","Riau Archipelago_2017","Riau Archipelago_2017",556,NA,478,2220,"",NA,"Immature",0.868,0.843,0.498,2,-0.934807437711907,3,-1.09363072162382,0.123,0.437722419928826,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2017"
"30","AA411",2020,"2021","11","23","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2017","2017_2020","Riau Archipelago_2017","Riau Archipelago_2017",556,NA,478,2220,"",NA,"Immature",0.868,0.843,0.281,3,-0.529342329603742,3,-1.09363072162382,0.123,0.437722419928826,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2017"
"31","AA413",2019,"2021","11","22","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2017","2017_2019","Riau Archipelago_2017","Riau Archipelago_2017",624,NA,537,2420,"",NA,"Immature",0.916,0.904,0.324,2,-0.934807437711907,3,-1.09363072162382,0.094,0.502673796791444,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2017"
"32","AA413",2020,"2021","11","22","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2017","2017_2020","Riau Archipelago_2017","Riau Archipelago_2017",624,NA,537,2420,"",NA,"Immature",0.916,0.904,0.187,3,-0.529342329603742,3,-1.09363072162382,0.094,0.502673796791444,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2017"
"33","AA414",2019,"2021","11","22","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2017","2017_2019","Riau Archipelago_2017","Riau Archipelago_2017",578,NA,491,2440,"",NA,"Immature",0.832,0.856,0.425,2,-0.934807437711907,3,-1.09363072162382,0.137,0.543650793650794,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2017"
"34","AA414",2020,"2021","11","22","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2017","2017_2020","Riau Archipelago_2017","Riau Archipelago_2017",578,NA,491,2440,"",NA,"Immature",0.832,0.856,0.252,3,-0.529342329603742,3,-1.09363072162382,0.137,0.543650793650794,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2017"
"35","AA415",2018,"2021","11","23","10",NA,"Riau Archipelago","Riau Archipelago_2018","Riau Archipelago","Riau Archipelago_2018","2016","2016_2018","Riau Archipelago_2016","Riau Archipelago_2016",596,NA,503,2700,"",NA,"Immature",0.835,0.861,0.368,2,-0.934807437711907,4,-0.805948649172035,0.058,0.446153846153846,"Intermediate","Riau Archipelago_Immature_2018","Riau Archipelago_Immature_2016"
"36","AA415",2019,"2021","11","23","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2016","2016_2019","Riau Archipelago_2016","Riau Archipelago_2016",596,NA,503,2700,"",NA,"Immature",0.835,0.861,0.166,3,-0.529342329603742,4,-0.805948649172035,0.058,0.446153846153846,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2016"
